,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('2012-10-01 07:00:00', '2012-10-01 07:05:00')",9.0680958385876416,5.4060803474484258,7.5945310754649364,5.3094462540716609,8.3094170403587437,07:02:30
"('2012-10-01 07:05:00', '2012-10-01 07:10:00')",9.2912154031287599,5.5134020618556701,7.6262305130195012,5.4113402061855673,8.0740740740740744,07:07:30
"('2012-10-01 07:10:00', '2012-10-01 07:15:00')",9.0835240274599549,5.3136094674556213,7.6448357440964374,5.3369493754109136,8.5373737373737377,07:12:30
"('2012-10-01 07:15:00', '2012-10-01 07:20:00')",8.9201312910284472,5.3217636022514068,7.6443571212893628,5.3802376485303318,8.6911764705882355,07:17:30
"('2012-10-01 07:20:00', '2012-10-01 07:25:00')",8.9424920127795531,5.3125590179414539,7.5213104465337715,5.3525338369531008,8.3088803088803083,07:22:30
"('2012-10-01 07:25:00', '2012-10-01 07:30:00')",8.90041928721174,5.2219127205199625,7.6900579114501362,5.5097493036211702,8.9478417266187051,07:27:30
"('2012-10-01 07:30:00', '2012-10-01 07:35:00')",8.708727655099894,5.2418738049713189,7.4622502574828076,5.3521351179094969,8.4361493123772107,07:32:30
"('2012-10-01 07:35:00', '2012-10-01 07:40:00')",8.5764587525150908,5.1936363636363634,7.6097847918035706,5.3933333333333335,9.0592592592592585,07:37:30
"('2012-10-01 07:40:00', '2012-10-01 07:45:00')",8.5422396856581528,5.1754850088183417,7.5805699781096321,5.3027630805408581,9.023985239852399,07:42:30
"('2012-10-01 07:45:00', '2012-10-01 07:50:00')",8.5355691056910565,5.2115732368896923,7.5842891778068138,5.2664255575647978,9.0057251908396942,07:47:30
"('2012-10-01 07:50:00', '2012-10-01 07:55:00')",8.3718338399189456,5.1928374655647387,7.5814336450377722,5.3789409243954696,9.1796296296296305,07:52:30
"('2012-10-01 07:55:00', '2012-10-01 08:00:00')",8.4014300306435139,5.1833030852994559,7.655319723194272,5.2716273442226251,9.3812260536398462,07:57:30
"('2012-10-01 08:00:00', '2012-10-01 08:05:00')",8.5423563777994165,5.2247386759581884,7.5937514485976676,5.3588850174216027,9.0141592920353979,08:02:30
"('2012-10-01 08:05:00', '2012-10-01 08:10:00')",8.6291793313069913,5.2417188898836171,7.6875596810361388,5.2512682781259326,9.1917808219178081,08:07:30
"('2012-10-01 08:10:00', '2012-10-01 08:15:00')",8.5572666025024056,5.1405312767780638,7.6325992930934889,5.27277920594116,9.1999999999999993,08:12:30
"('2012-10-01 08:15:00', '2012-10-01 08:20:00')",8.5222868217054266,5.262617621899059,7.7290196140560736,5.3282007413743937,9.4021543985637344,08:17:30
"('2012-10-01 08:20:00', '2012-10-01 08:25:00')",8.684529828109202,5.178731009830206,7.7311786890990684,5.3801012809055706,9.3302752293577988,08:22:30
"('2012-10-01 08:25:00', '2012-10-01 08:30:00')",8.3864783047426847,5.0776785714285717,7.4480272764223132,5.1485119047619046,8.879924953095685,08:27:30
"('2012-10-01 08:30:00', '2012-10-01 08:35:00')",8.5823950870010233,5.1873889875666075,7.5221419552041366,5.1696269982238015,8.7966417910447756,08:32:30
"('2012-10-01 08:35:00', '2012-10-01 08:40:00')",8.3534057255676206,5.1232517482517483,7.5375326278342643,5.1727855477855478,9.1359404096834265,08:37:30
"('2012-10-01 08:40:00', '2012-10-01 08:45:00')",8.7978410206084394,5.1047619047619044,7.5938533649434348,5.2297258297258296,8.8789571694599623,08:42:30
"('2012-10-01 08:45:00', '2012-10-01 08:50:00')",8.9276985743380859,5.137777777777778,7.7860229815694852,5.3656296296296295,9.2925925925925927,08:47:30
"('2012-10-01 08:50:00', '2012-10-01 08:55:00')",8.4492900608519275,5.0223015165031226,7.5807699364664174,5.2242045792447218,9.2707182320441994,08:52:30
"('2012-10-01 08:55:00', '2012-10-01 09:00:00')",8.8537344398340245,5.0266789328426862,7.694372025126472,5.3302667893284266,9.2027027027027035,08:57:30
"('2012-10-01 09:00:00', '2012-10-01 09:05:00')",8.8307692307692314,5.15419296663661,7.799670085518521,5.4147880973850313,9.4140480591497226,09:02:30
"('2012-10-01 09:05:00', '2012-10-01 09:10:00')",8.6670146137787061,5.0765724703737467,7.750624792323376,5.3628076572470373,9.5082872928176787,09:07:30
